,jk,kalimat,label,naon,propn,subyek,takso
64,1,jaringan,3,1.0,0,0,0
65,4,sistem temu kembali informasi,0,0.75,0,0,0
66,31,sistem temu kembali informasi  stki  merupakan mata kuliah yang membahas tentang sistem yang dapat menemukan kembali koleksi informasi digital yang penyimpanannya tak terstruktur dan memberikan informasi yang relevan bagi kebutuhan user ,1,0.3870967741935484,1,1,1
67,59,mahasiswa mampu menjelaskan berbagai konsep  teori  istilah dalam berbagai macam model sistem temu kembali informasi beserta pengaplikasiannya  mahasiswa mengimplementasikan teknik teknik penyelesaian masalah seperti pengindeksan  pencarian  pemrosesan query dalam kebutuhan temu kembali informasi  mahasiswa mampu mengembangkan sistem yang dapat menemukan dokumen yang relevan dengan kebutuhan pengguna dengan menerapkan prinsip prinsip dan algoritma yang efektif dan efisien dalam pemilihan dokumen ,2,0.5254237288135594,1,1,1
68,71,mahasiswa akan mempelajari teknik teknik pengolahan data teks untuk menemukan kembali informasi pada data berbentuk teks  bahasan perkuliahan meliputi pengolahan awal  ekstraksi fitur  penghitungan tingkat kemiripan teks sesuai masukan query  dan menampilkan hasil pencarian  bahasan lanjut adalah teknik relevance feedback  klasifikasi dan klasterisasi teks untuk membantu pengguna dalam pencarian  mahasiswa akan merancang  menganalisis serta mengaplikasikan metode metode sistem temu kembali informasi pada berbagai permasalahan nyata baik secara mandiri atau kerjasama tim ,3,0.5633802816901409,1,1,1
69,3,perancangan perangkat lunak,0,0.6666666666666666,0,0,0
70,125,this topic discusses about general design concept   context of software design  software design processes  and software design princiles  design is defined as both  the process of defining the architecture  components  interfaces  and other characteristics of a system or component  and  the result of  that  process       viewed as a process  software design is the software engineering life cycle activity in which software requirements are analyzed in order to produce a description of the software s internal structure that will serve as the basis for its construction  a software design  the result  describes the software architecture  that is  how software is decomposed and organized into components  and the interfaces between those components  it should also describe the components at a level of detail that enables their construction ,1,0.864,1,0,0
71,8,keamanan informasi  melindungi informasi anda di era digital,0,0.5,0,1,0
72,102,kita kini sudah berada di era informasi dimana siapa yang menguasai informasi adalah pemenangnya  dalam kehidupan sehari hari pemanfaatan teknologi informasi sudah menjadi bagian dari kehidupan kita  sebagai contoh  kita sudah tidak dapat dipisahkan lagi dari handphone  namun  pemanfaatan teknologi informasi ini mengandung risiko  penyalahgunaan teknologi informasi mengakibatkan fraud dan kejahatan kejahatan lainnya  kursus  keamanan informasi  melindungi informasi anda di era digital  akan memberi contoh berbagai ancaman pemanfaatan teknologi informasi  prinsip prinsip keamanan informasi akan dibahas dalam kursus ini  kursus ini akan dibawakan oleh ir  budi rahardjo  m sc   ph d   dosen sekolah teknik elektro dan informatika institut teknologi bandung  stei itb  ,1,0.5588235294117647,1,1,0
73,27,melalui kursus ini  siswa diharapkan memahami pentingnya pengamanan informasi  selain itu  siswa diharapkan menguasai prinsip prinsip keamanan informasi dan mengetahui cara mengamankan informasi dengan menggunakan berbagai kendali ,2,0.48148148148148145,0,1,1
74,23,minggu   pemanfaatan teknologi informasi  minggu   ancaman ancaman terhadap penggunaan teknologi informasi  minggu   prinsip prinsip keamanan informasi   part    minggu   prinsip prinsip keamanan informasi   part   ,3,0.9565217391304348,0,0,0
75,5,dasar pemrograman untuk pemula  part   ,0,0.8,0,0,0
76,173,selamat datang di kelas dasar pemrograman bagian pertama  pada kelas pemrograman ini akan dibahas perlahan dan lengkap beserta video untuk praktikum  sehingga  anda bisa menjadi programmer yang mengerti tentang teori fundamental dari nol  bukan menjadi seorang programer praktis karena terdapat tutorial dengan materi yang mendalam ditiap kelasnya dibandingkan perkuliahan lainnya  tujuan dari kelas ini adalah mempelajari dasar pemrograman  hingga mampu membuat aplikasi sederhana  bahasa pengantar dalam kelas dasar pemrograman ini adalah menggunakan visual c   mahasiswa bisa menggunakan visual c             ataupun       untuk kalian yang otodidak belajar pemrograman tidak perlu khawatir  dengan kelas pemrograman ini anda bisa belajar sama seperti orang yang kuliah di bidang komputer  materi yang ada di dalam kelas ini adalah sebagai berikut  pertemuan     introduction pertemuan     dasar membuat program pertama pertemuan     tipe data pertemuan     logika pemrograman pertemuan     looping perulangan  salam kenal untuk para mahasiswa pelajar yang sudah terdaftar di kelas ini  bersama saya agung riyadi  untuk kedepanya saya akan memberikan bimbingan di kelas dasar pemrograman ini  mohon maaf atas segala kekurangan dalam kelas in  semoga memberikan banyak manfaat akhir kata  terima kasih ,1,0.43352601156069365,1,1,1
77,14,mempelajari materi dasar pemrograman untuk pemula  part     mengerjakan test dasar pemrograman untuk pemula  part    ,3,0.5714285714285714,0,0,1
78,2,aljabar linier,0,0.5,1,0,0
79,27,topik topik yang dibahas meliputi sistem persamaan linier dan matriks  determinan  ruang vektor  ruang hasil kali dalam  nilai eigen dan vektor eigen  transformasi linier  ruang vektor kompleks ,1,0.7407407407407407,1,0,0
80,2,sistem operasi,0,1.0,0,0,0
81,56,dalam kuliah ini akan dibahas organisasi  struktur dan konsep konsep dari sistem pengoperasian komputer  topik topik yang akan dibahas meliputi pendahuluan  sejarah  konsep dasar  dan struktur  proses  model  interprocess communication  schedulling  memory management  swapping  virtual memory  page replacement  paging  working set model  segmentation  file system  file and directory  implementation  security  protection  input output  deadlock  distributed systems ,1,0.7321428571428571,1,1,0
82,2,matematika diskret,0,1.0,1,0,0
83,55,topik topik yang akan dibahas meliputi  relasi beserta sifat sifat dan aplikasinya  penutup relasi  relasi ekivalen  terurut parsial  terurut total  relasi rekurensi  fungsi pembangkit  graf  isomorfisma graf  keterhubungan graf  komponen  lintasan  sirkuit  lintasan dan sirkuit euler  lintas dan sirkuit hamilton  lintasan terpendek  graf planar  pewarnaan graf  pohon  hutan  pohon perentang  pohon perentang minimum  cut set ,3,0.8181818181818182,1,0,0
84,3,perancangan sistem informasi,0,1.0,0,0,0
85,86,this course focuses on the analysis and design for information systems  adis   it involves understanding of how to develop an information systems  is  that can support organizations in order to achieve their goals by delivering benefits  the development of is should be an integrated approaches within the organization  the course will deal with how to develop information systems so that it can improve the competitiveness of an organization  this course will explore the business function and how to manage the requirement to support the business function ,1,0.872093023255814,1,0,0
86,7,komputasi dalam objek python iv dan algoritma,0,0.7142857142857143,0,0,0
87,232,lengkapi pengetahuan pengantar anda tentang ilmu komputer dengan kursus terakhir ini pada objek dan algoritme  sekarang anda telah belajar tentang struktur kontrol yang kompleks dan struktur data belajar untuk mengembangkan program yang lebih intuitif memanfaatkan pemahaman alamiah anda tentang masalah melalui pemrograman berorientasi objek  kemudian belajar menganalisa kompleksitas dan efisiensi program program ini melalui algoritma  selain itu  beri tahukan pengetahuan anda yang lebih luas tentang pengantar komputasi dengan ujian komprehensif  pada akhir kursus ini  anda akan dapat menulis program dalam python yang memanfaatkan pemahaman anda yang lebih alami tentang struktur data dengan membuat objek untuk merepresentasikan struktur tempat anda bekerja dengan sebagian besar sering  misalnya jika anda membuat aplikasi daftar kelas  anda akan belajar cara membuat objek yang mewakili nomor id dan nomor absensi siswa  maka anda akan dapat membuat aplikasi yang memanfaatkan penyortiran dan pencarian algoritme untuk mengurutkan daftar tersebut menurut abjad mencari siswa tertentu dan mengevaluasi efisiensi kedua operasi tersebut  secara struktural  pelatihan ini terdiri dari beberapa bagian  instruksi disampaikan melalui serangkaian video pendek     menit  di antara video video itu anda akan menyelesaikan dua pertanyaan pilihan ganda dan masalah pengkodean untuk menunjukkan pengetahuan anda tentang materi yang baru saja dibahas  latihan ini dihitung untuk    nilai anda  kemudian setelah setiap bab besar anda akan menyelesaikan satu set masalah dengan mengumpulkan lebih banyak masalah yang menantang  ini dihitung untuk    nilai anda  akhirnya anda akan menyelesaikan ujian akhir yang berarti    nilai yang tersisa ,1,0.3448275862068966,1,1,1
88,52,bekerja dengan contoh objek di python  membuat struktur data baru menggunakan pemrograman berorientasi objek  menggunakan objek dengan kontrol dan struktur data sebelumnya  menulis algoritma pencarian umum seperti pencarian linear dan biner  menulis algoritma penyortiran umum seperti semacam penyisipan semacam gelembung dan menggabungkan semacam  mengevaluasi kompleksitas komputasional dari algoritma menggunakan notasi o besar ,2,0.46153846153846156,0,0,1
89,6,komputasi dalam struktur kontrol python ii,0,0.8333333333333334,1,0,0
90,180,membangun pengetahuan anda sebelumnya tentang variabel dan operator kursus ini masuk ke dalam daging pemrograman  disusun dalam lima bab kursus ini dimulai dengan mencakup dasar dasar struktur kontrol apa dan apa yang mereka lakukan kemudian pindah ke empat struktur kontrol umum di python  conditional memungkinkan anda memodifikasi apa yang dilakukan program anda berdasarkan nilai variabel yang masuk  loop memungkinkan anda mengulang tugas untuk beberapa nilai atau saat kondisi tertentu berlaku  fungsi memungkinkan anda merangkum penalaran kompleks ke dalam potongan kode yang dapat digunakan kembali  penanganan kesalahan memungkinkan anda secara cerdas pulih dari gangguan yang diantisipasi dan tidak diantisipasi  pada akhir kursus ini  anda akan dapat menulis program program rumit dalam python yang melakukan penalaran yang berguna  misalnya anda dapat menulis program yang menghitung berat anda di planet lain menghitung deviasi standar dari serangkaian angka atau memeriksa validitas kata sandi yang masuk  secara struktural  pelatihan terdiri dari beberapa bagian  instruksi disampaikan melalui serangkaian video pendek     menit  di antara video video itu anda akan menyelesaikan dua pertanyaan pilihan ganda dan masalah pengkodean untuk menunjukkan pengetahuan anda tentang materi yang baru saja dibahas ,1,0.35,0,1,1
91,54,bagaimana struktur kontrol dapat mempengaruhi bagaimana garis kode lain dijalankan  conditionals termasuk jika lain jika dan lain untuk alasan yang kompleks  loop termasuk untuk loop untuk masing masing loop dan sementara loop untuk perilaku berulang  fungsi untuk mengenkapsulasi kode menjadi potongan yang dapat digunakan kembali  penanganan kesalahan untuk mengantisipasi dan menyelesaikan kesalahan yang diharapkan ,2,0.35185185185185186,0,0,0
92,6,komputasi dalam struktur data python iii,0,0.8333333333333334,1,0,0
